"UID","VALUE","weighted_pixels","hectares","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
58085,11,214.01999521628,19.2617995694652,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58085,2138,88.6199980191886,7.97579982172698,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
58085,2140,2.99999993294477,0.26999999396503,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
58085,2142,22510.1394968592,2025.91255471732,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58085,2143,784.619982462376,70.6157984216139,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
58085,2150,132.079997047782,11.8871997343004,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
58085,2151,3759.51991596818,338.356792437136,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
58085,2155,32164.4592810683,2894.80133529615,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58085,2156,7393.03983475268,665.373585127741,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
58085,2157,2176.49995135143,195.884995621629,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
58085,2159,555.999987572432,50.0399988815188,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Hardwood",308,130,38,27,9,21,70,"I-C",38,115,0,0.14902,0.45098,0
58087,11,1490.15996669233,134.11439700231,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58087,1446,32.6199992708862,2.93579993437976,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58087,2142,22.9999994859099,2.06999995373189,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58087,2155,22626.6194942556,2036.39575448301,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58087,2157,1356.99996966869,122.129997270182,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
58144,11,161.67999638617,14.5511996747553,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58144,2132,25.9999994188547,2.33999994769692,"Ozark-Ouachita Dry-Mesic Oak Forest","Hardwood",188,66,15,11,6,17,77,"I-B",115,115,0,0.45098,0.45098,0
58144,2138,112.999997474253,10.1699997726828,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
58144,2140,7.83999982476234,0.705599984228611,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
58144,2142,2851.99993625283,256.679994262755,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58144,2143,2.99999993294477,0.26999999396503,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
58144,2150,15384.5196561292,1384.60676905163,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
58144,2151,46.6999989561737,4.20299990605563,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
58144,2155,5579.75987528265,502.178388775438,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58144,2156,3337.91992539167,300.412793285251,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
58144,2157,284.579993639141,25.6121994275227,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
58144,2159,0.999999977648258,0.0899999979883432,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Hardwood",308,130,38,27,9,21,70,"I-C",38,115,0,0.14902,0.45098,0
58145,11,186.119995839894,16.7507996255904,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58145,2138,34.999999217689,3.14999992959201,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
58145,2142,18240.3995922953,1641.63596330658,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58145,2143,577.379987094551,51.9641988385096,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
58145,2150,4207.77990594879,378.700191535391,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
58145,2151,8.23999981582165,0.741599983423948,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
58145,2155,5541.01987614855,498.69178885337,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58145,2156,4160.37990700826,374.434191630743,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
58145,2157,110.679997526109,9.96119977734983,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
58146,11,2032.53995456919,182.928595911227,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58146,2138,1.99999995529652,0.179999995976686,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
58146,2140,1.99999995529652,0.179999995976686,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
58146,2142,15099.6596624963,1358.96936962467,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58146,2151,1304.31997084618,117.388797376156,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
58146,2155,23408.8394767717,2106.79555290945,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58146,2156,2150.23995193839,193.521595674455,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
58146,2157,9252.55979318917,832.730381387025,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
58146,2159,295.839993387461,26.6255994048715,"West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods","Hardwood",308,130,38,27,9,21,70,"I-C",38,115,0,0.14902,0.45098,0
58147,11,2383.89994671568,214.550995204411,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58147,31,4.99999988824129,0.449999989941716,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",191,191,191,0.74902,0.74902,0.74902
58147,2138,18.0799995958805,1.62719996362925,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
58147,2140,0.0799999982118607,0.00719999983906746,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
58147,2142,3681.95991770178,331.37639259316,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58147,2143,1024.01997711137,92.1617979400232,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
58147,2150,98.4999977983534,8.86499980185181,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
58147,2151,95.9799978546798,8.63819980692118,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
58147,2155,56204.4587437324,5058.40128693592,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58147,2156,1167.37997390702,105.064197651632,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
58147,2157,3378.63992448151,304.077593203336,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
58148,11,2913.35993488133,262.20239413932,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58148,1446,0.179999995976686,0.0161999996379018,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58148,2138,1.55999996513128,0.140399996861815,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
58148,2142,1194.43997330219,107.499597597197,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58148,2143,463.999989628792,41.7599990665913,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
58148,2150,2.87999993562698,0.259199994206429,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
58148,2155,38144.2191474102,3432.97972326692,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58148,2156,214.859995197505,19.3373995677754,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
58148,2157,2824.49993686751,254.204994318075,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
58210,11,206.819995377213,18.6137995839491,"Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1
58210,2138,400.17999105528,36.0161991949752,"West Gulf Coastal Plain Mesic Hardwood Forest","Hardwood",271,90,23,17,7,19,74,"I-C",181,158,143,0.709804,0.619608,0.560784
58210,2140,1.99999995529652,0.179999995976686,"Ozark-Ouachita Dry Oak Woodland","Hardwood",38,89,6,5,13,5,82,"I-A",97,69,0,0.380392,0.270588,0
58210,2142,63621.1385779567,5725.9024720161,"West Gulf Coastal Plain Pine-Hardwood Forest","Hardwood-Conifer",121,52,5,4,4,9,87,"I-A",100,168,0,0.392157,0.658824,0
58210,2143,1233.91997241974,111.052797517776,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland","Hardwood-Conifer",159,390,5,5,3,1,96,"I-A",209,217,0,0.819608,0.85098,0
58210,2150,2109.01995285973,189.811795757376,"West Gulf Coastal Plain Northern Calcareous Prairie","Grassland",1280,7,7,3,1,52,47,"I-A",255,0,110,1,0,0.431373
58210,2151,14929.9796662889,1343.698169966,"West Gulf Coastal Plain Pine-Hardwood Flatwoods","Hardwood-Conifer",179,104,5,5,3,4,93,"I-A",99,235,97,0.388235,0.921569,0.380392
58210,2155,24342.2794559076,2190.80515103169,"Gulf and Atlantic Coastal Plain Floodplain Systems","Riparian",393,257,49,37,10,15,75,"III-A",102,119,205,0.4,0.466667,0.803922
58210,2156,16458.1996321306,1481.23796689175,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems","Riparian",431,129,50,33,8,26,66,"I-C",171,185,235,0.670588,0.72549,0.921569
58210,2157,796.059982206672,71.6453983986005,"Gulf and Atlantic Coastal Plain Swamp Systems","Riparian",1020,-9999,685,410,40,-9999,60,"V-A",102,212,179,0.4,0.831373,0.701961
