"hex_id","VALUE","weighted_pixels","hectares","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE"
1,7292,663.83998516202,59.7455986645818,"Open Water",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1
1,7296,127.999997138977,11.5199997425079,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784
1,7297,33.1099992599338,2.97989993339404,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804
1,7298,0.999999977648258,0.0899999979883432,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804
1,7299,2424.24994581379,218.182495123241,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922
1,7304,10693.0897609908,962.378078489173,"Ozark-Ouachita Dry-Mesic Oak Forest",7304,2304,"Tr Ozark-Ouachita Dry-Mesic Oak Forest","Tree","Hardwood",660,"White Oak-Red Oak-Hickory Forest and Woodland","SAF 53: White Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",85,187,194,0.333333,0.733333,0.760784
1,7323,7517.86983196251,676.608284876626,"West Gulf Coastal Plain Mesic Hardwood Forest",7323,2323,"Tr West Gulf Coastal Plain Mesic Hardwood Forest","Tree","Hardwood",680,"Sweetgum-Water Oak Forest","SAF 92: Sweetgum-Willow Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",145,255,115,0.568627,1,0.45098
1,7334,605.86998645775,54.5282987811975,"Ozark-Ouachita Mesic Hardwood Forest",7334,2334,"Tr Ozark-Ouachita Mesic Hardwood Forest","Tree","Hardwood",655,"Beech-Maple-Basswood Forest","SAF 52: White Oak-Black Oak-Northern Red Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",85,187,194,0.333333,0.733333,0.760784
1,7364,27759.7093795221,2498.37384415699,"Ozark-Ouachita Dry Oak Woodland",7364,2364,"Tr Ozark-Ouachita Dry Oak Woodland","Tree","Hardwood",662,"Post Oak Woodland and Savanna","SAF 40: Post Oak-Blackjack Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",85,187,194,0.333333,0.733333,0.760784
1,7367,4709.07989474386,423.817190526947,"Ozark-Ouachita Shortleaf Pine Forest and Woodland",7367,2367,"Tr Ozark-Ouachita Shortleaf Pine Forest and Woodland","Tree","Conifer",690,"Shortleaf Pine-Oak Forest and Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",116,214,190,0.454902,0.839216,0.745098
1,7371,272.779993902892,24.5501994512603,"West Gulf Coastal Plain Pine Forest",7371,2371,"Tr West Gulf Coastal Plain Pine Forest","Tree","Conifer",689,"Shortleaf Pine Woodland","SAF 82: Loblolly Pine-Hardwood","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",145,255,115,0.568627,1,0.45098
1,7462,1586.229964545,142.76069680905,"West Gulf Coastal Plain Seepage Swamp and Baygall",7462,2462,"Tr West Gulf Coastal Plain Seepage Swamp and Baygall","Tree","Riparian",694,"Atlantic Swamp Forests","LF 47: Gulf Coastal Plain Swamp","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",216,216,191,0.847059,0.847059,0.74902
