"ID","VALUE","weighted_pixels","hectares","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE"
"080401010101",7292,92.999997921288,8.36999981291592,"Open Water",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1
"080401010101",7296,482.499989215285,43.4249990293756,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784
"080401010101",7297,193.449995676056,17.410499610845,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804
"080401010101",7298,64.0999985672534,5.7689998710528,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804
"080401010101",7299,3782.10991546325,340.389892391693,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922
"080401010101",7304,22110.1595057994,1989.91435552195,"Ozark-Ouachita Dry-Mesic Oak Forest",7304,2304,"Tr Ozark-Ouachita Dry-Mesic Oak Forest","Tree","Hardwood",660,"White Oak-Red Oak-Hickory Forest and Woodland","SAF 53: White Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",85,187,194,0.333333,0.733333,0.760784
"080401010101",7312,1447.90996763669,130.311897087302,"Ouachita Montane Oak Forest",7312,2312,"Tr Ouachita Montane Oak Forest","Tree","Hardwood",681,"Montane Oak Forest","SAF 40: Post Oak-Blackjack Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",85,187,194,0.333333,0.733333,0.760784
"080401010101",7334,2569.57994256541,231.262194830887,"Ozark-Ouachita Mesic Hardwood Forest",7334,2334,"Tr Ozark-Ouachita Mesic Hardwood Forest","Tree","Hardwood",655,"Beech-Maple-Basswood Forest","SAF 52: White Oak-Black Oak-Northern Red Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",85,187,194,0.333333,0.733333,0.760784
"080401010101",7364,13331.979702007,1199.87817318063,"Ozark-Ouachita Dry Oak Woodland",7364,2364,"Tr Ozark-Ouachita Dry Oak Woodland","Tree","Hardwood",662,"Post Oak Woodland and Savanna","SAF 40: Post Oak-Blackjack Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",85,187,194,0.333333,0.733333,0.760784
"080401010101",7367,14055.7196858302,1265.01477172472,"Ozark-Ouachita Shortleaf Pine Forest and Woodland",7367,2367,"Tr Ozark-Ouachita Shortleaf Pine Forest and Woodland","Tree","Conifer",690,"Shortleaf Pine-Oak Forest and Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",116,214,190,0.454902,0.839216,0.745098
"080401010101",7505,1232.62997244857,110.936697520372,"Ouachita Novaculite Glade and Woodland",7505,2505,"Tr Ouachita Novaculite Glade and Woodland","Tree","Hardwood",662,"Post Oak Woodland and Savanna","SAF 40: Post Oak-Blackjack Oak","Tree-dominated","Sparse tree canopy","Mixed evergreen-deciduous sparse tree canopy",85,187,194,0.333333,0.733333,0.760784
"080401010101",7507,677.039984866977,60.9335986380279,"Ozark-Ouachita Shortleaf Pine-Bluestem Woodland",7507,2507,"Tr Ozark-Ouachita Shortleaf Pine-Bluestem Woodland","Tree","Conifer",689,"Shortleaf Pine Woodland","SAF 75: Shortleaf Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",116,214,190,0.454902,0.839216,0.745098
"080401010101",7582,15498.9796535708,1394.90816882137,"Ozark-Ouachita Oak Forest and Woodland",7367,2582,"Tr Ozark-Ouachita Oak Forest and Woodland","Tree","Hardwood",690,"Shortleaf Pine-Oak Forest and Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",116,214,190,0.454902,0.839216,0.745098
"080401010101",7583,5351.88988037594,481.670089233834,"Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland",7367,2583,"Tr Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland","Tree","Conifer-Hardwood",690,"Shortleaf Pine-Oak Forest and Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",116,214,190,0.454902,0.839216,0.745098
"080401010101",7905,388.519991315901,34.9667992184311,"Eastern Cool Temperate Urban Deciduous Forest",7905,2913,"Dtd Urban Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",112,68,137,0.439216,0.266667,0.537255
