"UID","VALUE","weighted_pixels","hectares","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE"
58085,7292,214.01999521628,19.2617995694652,"Open Water",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1
58085,7296,239.679994642735,21.5711995178461,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784
58085,7297,84.8999981023371,7.64099982921034,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804
58085,7298,9.99999977648258,0.899999979883432,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804
58085,7299,1603.67996415496,144.331196773946,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922
58085,7323,3250.95992733538,292.586393460184,"West Gulf Coastal Plain Mesic Hardwood Forest",7323,2323,"Tr West Gulf Coastal Plain Mesic Hardwood Forest","Tree","Hardwood",680,"Sweetgum-Water Oak Forest","SAF 92: Sweetgum-Willow Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",145,255,115,0.568627,1,0.45098
58085,7371,5233.01988303289,470.97178947296,"West Gulf Coastal Plain Pine Forest",7371,2371,"Tr West Gulf Coastal Plain Pine Forest","Tree","Conifer",689,"Shortleaf Pine Woodland","SAF 82: Loblolly Pine-Hardwood","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",145,255,115,0.568627,1,0.45098
58085,7378,255.099994298071,22.9589994868264,"West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland",7378,2378,"Tr West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland","Tree","Conifer",689,"Shortleaf Pine Woodland","SAF 76: Shortleaf Pine-Oak","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",116,214,190,0.454902,0.839216,0.745098
58085,7428,5.2799998819828,0.475199989378452,"West Gulf Coastal Plain Northern Calcareous Prairie",7428,2428,"He West Gulf Coastal Plain Northern Calcareous Prairie","Herb","Grassland",688,"Prairies and Barrens","SRM 717: Little Bluestem-Indiangrass-Texas Wintergrass","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,148,71,1,0.580392,0.278431
58085,7458,2.99999993294477,0.26999999396503,"West Gulf Coastal Plain Pine Flatwoods",7458,2458,"Tr West Gulf Coastal Plain Pine Flatwoods","Tree","Conifer",684,"Pine Flatwoods","SAF 82: Loblolly Pine-Hardwood","Tree-dominated","Open tree canopy","Evergreen open tree canopy",145,255,115,0.568627,1,0.45098
